Gamma;mean PSNR;mean SSIM;mean Iteraciones;mean log_grad;mean theta
0,005;23,99233505108631;0,6786300399767805;3505,375;9,596948621688744;0,6068623027276963
0,01;26,758074618581485;0,815302537910131;2362,1666666666665;9,244377913797074;0,5831877236950732
0,015;27,69882175225342;0,8560351135383139;2043,375;9,11157802935372;0,5645097655201365
0,02;28,118654929428317;0,8732553285498602;1909,3333333333333;9,04186049078251;0,5495135326478016
0,025;28,3336220126951;0,882021364013209;1842,875;8,998279737263259;0,5369380400822547
0,030000000000000002;28,45232151849184;0,8869909057026191;1806,8333333333333;8,967903184556071;0,5260024646623939
0,034999999999999996;28,520155089908965;0,8899962266614194;1786,5416666666667;8,945130236524504;0,5167096260781056
0,04;28,558795065695126;0,8918818620476111;1775,125;8,927147609048623;0,5085299976372119
0,045;28,57960944978767;0,8930822054783776;1768,7916666666667;8,912388890926337;0,5012502539003538
0,049999999999999996;28,589110820287658;0,8938414407587566;1765,9166666666667;8,899930857216605;0,494690556269298
0,055;28,591079473291895;0,8943041976778116;1764,6666666666667;8,889144895832354;0,48867079038831723
0,06;28,588043301443435;0,8945625898241399;1765,0833333333333;8,87966124448674;0,48301975884604625
0,065;28,581539976907465;0,8946758784201556;1766,375;8,871192281046092;0,47786039749389725
0,07;28,57260115823512;0,8946837401793264;1768,0416666666667;8,863528724460812;0,4731024191003373
0,07500000000000001;28,562011726665364;0,8946148081958673;1770,2916666666667;8,85654066313464;0,4686889137810651
0,08;28,55023519964855;0,8944882062914873;1772,75;8,850102117902239;0,4645690713836493
0,085;28,537643324624828;0,8943183009755818;1775,375;8,844131667812247;0,46063692589750277
0,09000000000000001;28,52452217454015;0,8941159111876787;1778,2083333333333;8,838567462476558;0,45695790479218806
0,095;28,511037164767487;0,8938886621777508;1781,0416666666667;8,833346626416064;0,4535230094973966
0,1;28,497334792991705;0,8936425863154941;1783,9583333333333;8,828429594388348;0,45012666520975547
0,10500000000000001;28,483509623194465;0,893382151981816;1786,7916666666667;8,823774363326253;0,4469226283541283
0,11;28,469679232600527;0,8931114637696949;1789,8333333333333;8,819365605213841;0,44394364199570285
0,115;28,45582095559494;0,8928320942807276;1792,5;8,815152649684729;0,4410914365827446
0,12000000000000001;28,442084931548475;0,8925475859023987;1795,375;8,81113924972772;0,43829067799691157
0,125;28,428456627010007;0,8922589886817006;1798,1666666666667;8,807295926332666;0,4356214775350293
0,13;28,41492699206093;0,8919674348519148;1800,7916666666667;8,803601212402292;0,43308174750707806
0,135;28,401583340541706;0,8916749778393048;1803,5416666666667;8,800057355655282;0,430638788321508
0,14;28,388407112014164;0,8913815916252346;1806,1666666666667;8,796640044908536;0,42834121485238263
0,14500000000000002;28,375371571228253;0,8910879566857289;1808,5416666666667;8,793335974715506;0,4260999763922213
0,15;28,36254850224994;0,890795391907874;1811,0;8,7901465526682;0,42392862549548954
0,155;28,34991288737758;0,8905037557594633;1813,375;8,787058597767766;0,4218799373257586
0,16;28,337488101844382;0,8902140729729489;1815,875;8,784075447431832;0,41985135811323726
0,165;28,32523085181467;0,8899258317734479;1818,1666666666667;8,781172530345321;0,4179345105456182
0,17;28,313188298242423;0,8896396466287456;1820,4583333333333;8,778355844340314;0,4160189151229777
0,17500000000000002;28,301309631290223;0,8893554226099076;1822,625;8,775611721042756;0,4141888612174784
0,18000000000000002;28,28964169748991;0,8890739789120655;1824,875;8,772948781659709;0,41237453431688914
0,185;28,278152950841122;0,8887949834669627;1827,0833333333333;8,770351539912157;0,4106347751438428
0,19;28,266848741752785;0,8885184507420459;1829,1666666666667;8,767818410089697;0,4089699794297747
0,195;28,255693331318678;0,8882442807964336;1831,125;8,765341317039601;0,4073400618268653
0,2;28,244749396326426;0,8879733160902213;1833,25;8,762931930801447;0,40575489816893223
0,055;28,591079473291895;0,8943041976778116;1764,6666666666667;8,889144895832354;0,48867079038831723
0,07;28,57260115823512;0,8946837401793264;1768,0416666666667;8,863528724460812;0,4731024191003373
