k,PSNR,SSIM,mse,Log-Gradient,Angle
0.0,20.38479303765576,0.6270611892812001,0.0,11.107227487329762,0.5751263240703384
1.0,20.387705564789577,0.6271809636758413,0.010354639642543883,11.106886528108507,0.5786988067983859
2.0,20.391024223043136,0.6273203833903093,0.011873968463755165,11.106505715037274,0.5787002998610928
3.0,20.394360471475142,0.6274607870407838,0.011964109347671658,11.10612321006493,0.578701942769377
4.0,20.39769790817132,0.6276012737920428,0.011972533957170645,11.10574057130127,0.5787038699463075
5.0,20.401035064353067,0.6277417540772077,0.011971309108546444,11.105357941508753,0.5787111418776021
6.0,20.404371703327676,0.6278822126433671,0.011968067911703087,11.104975345826002,0.5787170041118016
7.0,20.407707773342775,0.6280226460610925,0.011964204129821585,11.104592791104958,0.5787238842920882
8.0,20.411043255663497,0.6281630530565083,0.011960107680145615,11.104210279861205,0.5787292445268847
9.0,20.414378142827193,0.6283034331812662,0.011955901881047616,11.103827813217082,0.578730888479532
10.0,20.417712430897343,0.6284437861670044,0.011951636949332382,11.10344539169584,0.5787341946108416
11.0,20.42104611708929,0.6285841118131568,0.011947333327200006,11.103063015663308,0.5787374765978547
12.0,20.424379199278793,0.6287244099677849,0.011943005520828994,11.10268068539582,0.5787402942692744
13.0,20.42771167567365,0.62886468050704,0.011938657458155722,11.102298401096094,0.5787429057396436
14.0,20.43104354504539,0.6290049233566085,0.011934298930617105,11.101916162911321,0.5787451782795469
15.0,20.434374806244552,0.6291451384486315,0.011929933007265007,11.101533970973124,0.5787468725992294
16.0,20.437705458290605,0.6292853257252528,0.01192556294199123,11.101151825388737,0.5787476530841983
17.0,20.44103550019735,0.6294254851275992,0.011921191289821229,11.100769726241172,0.5787480262207063
18.0,20.44436493102312,0.6295656166044984,0.011916810408283138,11.100387673615383,0.5787484486630139
19.0,20.447693749822026,0.6297057201009458,0.011912429372944438,11.100005667577863,0.5787491327793794
20.0,20.451021955709116,0.6298457955734608,0.011908048428933546,11.099623708192402,0.5787504000696955
21.0,20.454349547721847,0.6299858429659303,0.011903663968500884,11.099241795533352,0.5787517576853031
22.0,20.457676524934275,0.6301258622248533,0.011899277391698502,11.098859929673022,0.5787532464325424
23.0,20.4610028864389,0.6302658532977844,0.011894891645657919,11.098478110675435,0.5787547401230453
24.0,20.4643286313166,0.6304058161303231,0.011890506485567071,11.098096338604106,0.5787562637862965
25.0,20.467653758666422,0.6305457506710604,0.011886122305419263,11.097714613517784,0.5787578457446491
26.0,20.470978267586993,0.6306856568680277,0.011881736700685708,11.097332935480372,0.5787596775611276
27.0,20.474302157167777,0.6308255346685828,0.011877350255418294,11.096951304556178,0.5787614445342216
28.0,20.477625426509057,0.6309653840215184,0.011872963842235853,11.096569720813498,0.5787630963087741
29.0,20.48094807471108,0.631105204875661,0.011868577688406831,11.096188184316912,0.578764672765405
30.0,20.484270100857298,0.6312449971779278,0.011864192202675657,11.095806695125248,0.5787662518421036
31.0,20.487591504047593,0.6313847608770611,0.01185980687819569,11.095425253301077,0.5787678126661279
32.0,20.490912283384137,0.6315244959220477,0.011855422259929695,11.09504385890227,0.5787693161043014
33.0,20.494232437966975,0.6316642022618386,0.011851038318851299,11.094662511989625,0.5787707426107176
