k,PSNR,SSIM,mse,Log-Gradient,Angle
0.0,20.32042963949219,0.4673896377258154,0.0,10.985552020335119,0.5931177018594069
1.0,20.32351736612293,0.46752763436416717,0.010206587901364533,10.985157987389234,0.5946224760105471
2.0,20.327123726204285,0.46769066000597675,0.01207197009225176,10.984702386073195,0.5946367128722909
3.0,20.330751472987203,0.46785479025778803,0.012173850547704422,10.984244301655114,0.5946402469513721
4.0,20.33437950795755,0.4680189737780763,0.012176596106563308,10.983786184312104,0.5946449766274217
5.0,20.338006222400814,0.46818312979758453,0.012169727069648768,10.983328221943635,0.5946495604506054
6.0,20.341631401376823,0.4683472472842845,0.0121612390976779,10.98287044122358,0.5946537666584691
7.0,20.345255001119167,0.46851132399436274,0.012152350856722222,10.982412848210044,0.594657989778721
8.0,20.34887701088742,0.4686753593004747,0.012143340054284815,10.981955444869717,0.5946610796398424
9.0,20.352497427799978,0.4688393529739295,0.012134295198382057,10.98149823184657,0.5946651769559951
10.0,20.356116250785558,0.469003304895326,0.012125240136960936,10.981041209434062,0.5946704650971083
11.0,20.359733479229245,0.4691672149797707,0.012116180699121711,10.980584377840206,0.594675544484356
12.0,20.36334911278185,0.4693310831496997,0.012107122420305453,10.980127737206764,0.5946805654518997
13.0,20.36696315101718,0.46949490932344373,0.012098064118863846,10.979671287670591,0.5946855378126266
14.0,20.37057559367404,0.4696586934285998,0.012089008461628884,10.979215029321196,0.5946905467792091
15.0,20.374186440490988,0.46982243539340374,0.012079956568271953,10.97875896223879,0.5946956335781494
16.0,20.377795691252803,0.4699861351487529,0.01207090879041147,10.978303086500464,0.5947008287540717
17.0,20.381403345751576,0.4701497926262334,0.012061866123172258,10.977847402172221,0.5947060238415135
18.0,20.385009403784913,0.47031340775793967,0.012052828929797036,10.977391909314319,0.5947112936362632
19.0,20.38861386515468,0.47047698047637404,0.012043797320194304,10.976936607983726,0.5947165564342014
20.0,20.39221672966616,0.47064051071433854,0.012034771374752957,10.97648149823495,0.5947218525849031
21.0,20.39581799712741,0.470803998404895,0.01202575115262164,10.976026580120635,0.5947271209391664
22.0,20.39941766734887,0.470967443481309,0.012016736697525609,10.975571853691996,0.5947323791032076
23.0,20.40301574014302,0.471130845877036,0.012007728041889914,10.975117318999121,0.5947376357265012
24.0,20.40661221532416,0.47129420552568124,0.011998725209788796,10.974662976091222,0.5947428955330372
25.0,20.410207092708276,0.47145752236099686,0.011989728219073504,10.974208825016785,0.5947481529652408
26.0,20.41380037211288,0.4716207963168621,0.011980737082920261,10.973754865823711,0.5947534186665064
27.0,20.417392053356934,0.47178402732728303,0.011971751810966116,10.973301098559409,0.594758679887564
