k,PSNR,SSIM,mse,Log-Gradient,Angle
0.0,20.5564274465075,0.3975745340923567,0.0,10.895221187055961,0.6027865362429313
1.0,20.55962469432869,0.3977320719501532,0.010057885179974647,10.894778927966218,0.6031951714118914
2.0,20.563456242364907,0.39792309252092495,0.012225422950530989,10.894252407920789,0.6032149047882872
3.0,20.567318260587413,0.3981158377350569,0.012359474848643193,10.893721864335122,0.6032304570564867
4.0,20.57118280679728,0.39830877011960847,0.012370692689104736,10.893190933733647,0.6032416257780967
5.0,20.575047619529137,0.39850176321687675,0.012369206948147877,10.89265991825365,0.6032524585003143
6.0,20.578912387765406,0.39869479947609837,0.012365425960003758,10.892128864103714,0.6032633681782317
7.0,20.58277705016409,0.39888787529524006,0.01236105893884706,10.891597781681785,0.6032742800231101
8.0,20.58664159005598,0.3990809895943124,0.012356473481936235,10.89106667469796,0.6032851723554439
9.0,20.590506001696475,0.3992741419495085,0.01235179151327089,10.890535544730692,0.6032960944327106
10.0,20.594370282201666,0.3994673321333388,0.012347066090524113,10.890004392529319,0.6033070792944902
11.0,20.598234430379527,0.3996605600347467,0.012342310912944446,10.889473218629144,0.6033181151197203
12.0,20.602098445423167,0.39985382556249216,0.012337527128021546,10.888942023428188,0.6033291991680789
13.0,20.605962326608292,0.40004712863116315,0.012332725175232193,10.88841080720238,0.603340301895897
14.0,20.609826073351172,0.4002404691606915,0.012327915590696688,10.88787957011041,0.6033514421954759
15.0,20.613689685045912,0.40043384707154783,0.012323100993504804,10.887348312274428,0.6033626648701895
16.0,20.617553161161098,0.40062726228897727,0.01231828360205915,10.886817033797886,0.6033738672173617
17.0,20.621416501187095,0.40082071473931385,0.012313466094212,10.886285734773997,0.6033850114264799
18.0,20.625279704543654,0.40101420434407276,0.01230864600672893,10.885754415318372,0.6033962162670937
19.0,20.62914277071091,0.4012077310290995,0.012303826381794454,10.885223075506039,0.6034073733087223
20.0,20.63300569918962,0.4014012947216928,0.012299007589609508,10.88469171540752,0.6034185872269479
21.0,20.63686848948206,0.4015948953492651,0.012294189289425947,10.884160335099766,0.6034297530224612
22.0,20.640731141091543,0.40178853283930466,0.012289371641931324,10.883628934655091,0.6034409424097876
23.0,20.644593653522097,0.40198220711932814,0.012284554894560006,10.883097514138715,0.6034521389444816
24.0,20.6484560262782,0.40217591811686154,0.01227973854509528,10.882566073616797,0.6034633052830961
25.0,20.65231825886459,0.40236966575941446,0.01227492318404347,10.882034613152515,0.603474466173202
26.0,20.65618035078614,0.4025634499744612,0.012270108328070814,10.881503132812433,0.603485567348528
