k,PSNR,SSIM,mse,Log-Gradient,Angle
0.0,20.446494433668537,0.6497682633704752,0.0,11.111761725817564,0.5698444710840113
1.0,20.44939117272973,0.6498801121214379,0.010051979563199311,11.111445223849696,0.5758838451215722
2.0,20.452726590619882,0.6500115954425182,0.011674096880351866,11.111088057821028,0.5759418147469318
3.0,20.456083678830197,0.6501441124318909,0.011784244286249208,11.110728933404868,0.5759299095565897
4.0,20.45944236058652,0.6502767114782468,0.011795612990408353,11.110369667010456,0.5759291297675876
5.0,20.46280078048224,0.6504093052225043,0.011794850674051968,11.11001043605899,0.575922702643689
6.0,20.46615859826105,0.6505418781061983,0.011791324693592444,11.109651274419354,0.5759139848735239
7.0,20.46951574085304,0.6506744271583638,0.011787041355667893,11.109292190024297,0.575904464654936
8.0,20.47287218172951,0.6508069512619149,0.011782444295977586,11.10893318584809,0.5758958513939966
9.0,20.476227911799615,0.6509394500319637,0.011777736350815932,11.108574262815447,0.5758939656057218
10.0,20.479582925763367,0.6510719232581071,0.01177294372759709,11.10821542170211,0.5758920824448323
11.0,20.482937220230518,0.6512043708157718,0.011768093826890732,11.107856663097529,0.5758891874350074
12.0,20.486290792790733,0.6513367926067848,0.01176320760591342,11.107497987396666,0.575885790086975
13.0,20.48964364137167,0.6514691885509455,0.011758293937122804,11.107139394780987,0.575882973296093
14.0,20.49299576443422,0.6516015585918024,0.011753366726240293,11.10678088534424,0.5758801954445197
15.0,20.496347160918358,0.6517339026892821,0.011748430386367886,11.106422459190108,0.5758773430856395
16.0,20.499697829943774,0.6518662208008981,0.011743488606477406,11.106064116429607,0.5758749074797073
17.0,20.503047770604734,0.6519985128859794,0.01173854628625172,11.105705857138961,0.5758718060620371
18.0,20.5063969819766,0.6521307789033371,0.01173359626411786,11.105347681410557,0.5758713071681936
19.0,20.50974546321751,0.6522630188150171,0.01172864691988126,11.104989589318254,0.5758695517840092
20.0,20.513093213483433,0.652395232583208,0.011723698541865418,11.104631580930173,0.5758676283624337
21.0,20.51644023190416,0.652527420171404,0.011718749647880387,11.10427365632623,0.5758655836523509
22.0,20.519786517638483,0.6526595815423636,0.01171380134524462,11.103915815575629,0.5758634882743117
23.0,20.52313206987415,0.6527917166592537,0.011708854210935846,11.1035580587438,0.57586138176695
24.0,20.526476887779378,0.6529238254842797,0.01170390735591018,11.103200385901076,0.5758592047402809
25.0,20.529820970534786,0.6530559079805958,0.01169896129042882,11.102842797106916,0.575856937301111
26.0,20.5331643172954,0.6531879641090539,0.01169401427622325,11.102485292425792,0.5758546975542195
27.0,20.536506927230647,0.6533199938323543,0.011689066542529915,11.102127871922425,0.5758525066956242
28.0,20.539848799532898,0.6534519971140763,0.011684118625683033,11.10177053566515,0.5758503114545679
29.0,20.54318993338409,0.65358397391765,0.01167917126152848,11.1014132837149,0.575848243181216
30.0,20.546530327979163,0.6537159242067431,0.011674224650430581,11.101056116139333,0.5758462569647971
31.0,20.549869982513187,0.6538478479450353,0.011669279313944535,11.100699033000046,0.5758442106231332
32.0,20.55320889618131,0.6539797450962369,0.011664335258663762,11.100342034358443,0.5758421135961557
33.0,20.556547068169934,0.6541116156239104,0.011659392031116728,11.099985120276637,0.5758399526643891
34.0,20.559884497663052,0.6542434594916654,0.011654449055181789,11.099628290811147,0.57583772519623
35.0,20.56322118385647,0.6543752766632582,0.011649507336493229,11.099271546022882,0.575835419306277
36.0,20.566557125909682,0.6545070671019041,0.011644566163377192,11.098914885971185,0.5758330427836093
37.0,20.56989232294533,0.6546388307703181,0.011639624962685629,11.098558310718017,0.5758306603035296
38.0,20.573226774152506,0.6547705676319435,0.011634684307057512,11.098201820323474,0.5758283297980353
39.0,20.57656047872792,0.6549022776505659,0.011629744693241854,11.097845414847882,0.5758260489778012
40.0,20.57989343586911,0.6550339607900291,0.011624806313213372,11.097489094351513,0.575823831745706
41.0,20.58322564477358,0.6551656170141781,0.011619869168627823,11.097132858894566,0.5758216083558082
42.0,20.586557104638835,0.6552972462868706,0.011614933260851912,11.096776708537167,0.5758193908329804
43.0,20.589887814662365,0.6554288485719706,0.011609998591000691,11.09642064333937,0.5758171590070819
44.0,20.593217774041616,0.655560423833348,0.011605065159969211,11.096064663361169,0.5758148553438645
45.0,20.59654698197404,0.6556919720348836,0.011600132968459253,11.095708768662492,0.5758124518686342
46.0,20.599875437657058,0.6558234931404598,0.01159520201700192,11.095352959303206,0.5758098546286445
47.0,20.603203140288052,0.655954987113972,0.011590272305976864,11.094997235343117,0.575807279867499
48.0,20.606530089064407,0.6560864539193209,0.011585343767910318,11.094641596842092,0.5758046954717507
49.0,20.609856283183447,0.6562178935204116,0.01158041597605708,11.09428604385914,0.5758042483395699
50.0,20.613181721842494,0.6563493058811615,0.01157548929917466,11.093930576452621,0.5758005345839315
51.0,20.616506404238834,0.6564806909654898,0.011570563673315354,11.093575194682618,0.5757978025896154
52.0,20.619830329569734,0.6566120487373264,0.011565639151430242,11.093219898606511,0.5757950747191135
53.0,20.623153497032423,0.6567433791606043,0.011560715700007345,11.092864688283697,0.5757922983090906
54.0,20.626475905824115,0.6568746821992696,0.011555793436007497,11.092509563773566,0.5757896406996956
55.0,20.629797555142005,0.6570059578172707,0.011550872396882605,11.092154525135477,0.5757872867537279
56.0,20.633118444183257,0.6571372059785672,0.011545952583318609,11.091799572428743,0.5757849346438212
57.0,20.63643857214318,0.6572684266470926,0.011541033867124224,11.091444705712446,0.5757825645887037
58.0,20.63975793821819,0.65739961978681,0.011536116321153821,11.09108992504571,0.5757801496374219
59.0,20.64307654160551,0.6575307853617033,0.011531200003530487,11.090735230487681,0.5757775926296933
60.0,20.646394381502333,0.6576619233357555,0.011526284914935151,11.090380622097461,0.5757748590986559
61.0,20.64971145710586,0.6577930336729669,0.011521371056008782,11.090026099934107,0.5757718175878114
62.0,20.653027767613242,0.6579241163373413,0.011516458427355832,11.089671664056622,0.5757700149193893
63.0,20.656343312221644,0.6580551712928876,0.011511547029547153,11.089317314523965,0.5757685720976662
64.0,20.659658090128193,0.6581861985036266,0.011506636863122642,11.08896305139505,0.5757667420702163
65.0,20.66297210053001,0.6583171979335835,0.011501727928593275,11.08860887472874,0.5757657633843841
66.0,20.666285342624203,0.6584481695467911,0.01149682022644315,11.088254784583853,0.5757649159372645
67.0,20.669597815607858,0.6585791133072926,0.011491913757131057,11.087900781019163,0.5757629717623013
68.0,20.672909518678058,0.6587100291791365,0.011487008398703556,11.087546864094227,0.5757606057235125
69.0,20.676220451031885,0.6588409171263763,0.011482104254130055,11.087193033867845,0.5757577853979923
70.0,20.679530611866372,0.6589717771130806,0.01147720134504033,11.086839290398624,0.5757547644386182
71.0,20.682840000378594,0.659102609103323,0.01147229967191387,11.086485633745129,0.5757521616487978
72.0,20.686148615765582,0.6592334130611808,0.011467399235208517,11.086132063965877,0.5757503919426452
73.0,20.689456457224374,0.6593641889507441,0.01146250003536139,11.085778581119335,0.5757483244837983
74.0,20.692763523952,0.6594949367361086,0.011457601965686072,11.085425185263933,0.5757461431569905
75.0,20.696069815144625,0.6596256563813349,0.011452705113771644,11.085071876457521,0.5757438343418025
76.0,20.6993753299974,0.6597563478504401,0.011447809449244313,11.084718654757301,0.575741051869365
77.0,20.702680067707405,0.6598870111075475,0.011442915024059225,11.084365520221558,0.5757378034679881
78.0,20.705984027471708,0.6600176461167883,0.011438021838667604,11.084012472908539,0.5757361249779228
79.0,20.709287208487403,0.6601482528423039,0.011433129893503341,11.083659512876437,0.5757348480224717
80.0,20.71258960995156,0.6602788312482389,0.011428239188983034,11.083306640183407,0.5757329606613176
81.0,20.715891231061285,0.660409381298754,0.011423349725505967,11.082953854887554,0.5757306417542486
82.0,20.71919207101368,0.660539902958015,0.01141846150345449,11.082601157046941,0.5757280488668043
83.0,20.72249212900585,0.6606703961901959,0.011413574523194015,11.082248546719585,0.5757248957290025
84.0,20.725791404234922,0.6608008609594767,0.011408688785073241,11.081896023963456,0.5757245129205293
85.0,20.729089895898035,0.6609312972300556,0.011403804289424323,11.081543588836478,0.5757232242346318
86.0,20.73238760319233,0.661061704966126,0.011398921036562898,11.081191241396533,0.5757216492194137
87.0,20.735684525314973,0.6611920841319017,0.01139403902678845,11.080838981701456,0.5757201681340686
88.0,20.738980661463152,0.6613224346915998,0.011389158260384087,11.080486809809035,0.575718620835365
89.0,20.74227601083406,0.6614527566094485,0.011384278737617168,11.080134725777011,0.5757153816372543
90.0,20.74557057262492,0.6615830498496829,0.011379400458738942,11.079782729663085,0.5757134179615214
91.0,20.748864346032963,0.6617133143765533,0.011374523423985042,11.079430821524909,0.575712089148908
92.0,20.75215733025545,0.6618435501543097,0.011369647633575475,11.079079001420084,0.5757107679185477
93.0,20.755449524489666,0.661973757147218,0.011364773087714662,11.078727269406174,0.575709283515384
94.0,20.75874092793292,0.6621039353195542,0.011359899786591816,11.078375625540692,0.5757076312934246
95.0,20.76203153978254,0.6622340846355945,0.011355027730380914,11.078024069881108,0.5757059368596066
96.0,20.765321359235895,0.6623642050596393,0.011350156919240835,11.07767260248484,0.5757041590705751
97.0,20.768610385490376,0.6624942965559838,0.011345287353315591,11.077321223409266,0.5757021188644053
98.0,20.7718986177434,0.6626243590889427,0.01134041903273437,11.076969932711712,0.5756998785874295
99.0,20.77518605519242,0.6627543926228382,0.01133555195761195,11.076618730449466,0.5756974797107601
100.0,20.77847269703493,0.6628843971219962,0.011330686128048523,11.076267616679761,0.575695212601843
101.0,20.781758542468438,0.6630143725507635,0.01132582154413016,11.075916591459787,0.5756930254640817
102.0,20.78504359069051,0.6631443188734848,0.011320958203572217,11.075565654846686,0.5756913400545997
103.0,20.78832784089874,0.6632742360545215,0.011316096106052451,11.07521480689755,0.575689503004902
104.0,20.791611292290753,0.6634041240582474,0.0113112352517142,11.074864047669426,0.5756875192651135
105.0,20.794893944064246,0.6635339828490389,0.011306375640690008,11.074513377219313,0.5756856443539782
106.0,20.798175795416913,0.6636638123912841,0.011301517273101866,11.074162795604162,0.5756837021557493
107.0,20.801456845546518,0.6637936126493877,0.011296660149061293,11.073812302880878,0.5756811908485947
108.0,20.80473709365088,0.6639233835877582,0.011291804268669374,11.073461899106318,0.5756798194371925
109.0,20.808016538927838,0.6640531251708164,0.011286949632016803,11.07311158433729,0.5756784302672071
110.0,20.811295180575296,0.6641828373629931,0.011282096239184207,11.07276135863056,0.5756764028448784
111.0,20.814573017791208,0.6643125201287282,0.011277244090242026,11.07241122204284,0.5756736646452292
112.0,20.81785004977357,0.6644421734324752,0.011272393185250636,11.072061174630797,0.5756703303981755
113.0,20.821126275720427,0.6645717972386951,0.011267543524260633,11.07171121645105,0.5756661558690979
114.0,20.82440169482991,0.6647013915118613,0.011262695107312778,11.071361347560169,0.5756611674357907
115.0,20.82767630630016,0.6648309562164587,0.011257847934438264,11.071011568014677,0.5756565531791582
116.0,20.830950109329407,0.6649604913169763,0.011253002005658798,11.070661877871052,0.5756533500591745
117.0,20.83422310311594,0.6650899967779237,0.011248157320986656,11.070312277185717,0.5756503665538382
118.0,20.83749528685808,0.6652194725638162,0.01124331388042499,11.069962766015054,0.57564758678858
119.0,20.840766659754237,0.6653489186391793,0.01123847168396789,11.069613344415389,0.5756447580052576
