k,PSNR,SSIM,mse,Log-Gradient,Angle
0.0,20.38479303765576,0.6270611892812001,0.0,11.107227487329762,0.5751263240703384
1.0,20.38770494094765,0.6271809380211056,0.010352421900063264,11.106886601143398,0.5786988063724698
2.0,20.39102226467648,0.6273203022247881,0.011869235072563577,11.10650594267399,0.5787002945074217
3.0,20.394356464289686,0.6274606203041293,0.011956823866627974,11.106123674228359,0.578701934655307
4.0,20.397691137806234,0.6276009914142746,0.011962690494622555,11.105741353936898,0.5787038685168123
5.0,20.401024816693322,0.6277413259978547,0.011958908070550549,11.105359124552129,0.5787111446212669
6.0,20.404357264555244,0.6278816088147737,0.011953111066582612,11.104977011197269,0.578717007277291
7.0,20.407688429948582,0.6280218364492061,0.011946693624023997,11.104595020707283,0.5787238911082117
8.0,20.411018294452337,0.628162007641203,0.011940045806685633,11.104213155580146,0.578729252217466
9.0,20.41434685092056,0.6283021219565152,0.011933290987052685,11.103831416920237,0.5787308655076381
10.0,20.41767409573517,0.6284421791409858,0.011926479409315193,11.10344980523266,0.5787341888071925
11.0,20.421000026431724,0.6285821790083702,0.011919631531455931,11.10306832086493,0.5787374681358428
12.0,20.42432464120762,0.6287221214211366,0.011912761868250889,11.102686964074929,0.5787402820979662
13.0,20.42764793859375,0.6288620062699272,0.011905874349994688,11.102305735046807,0.5787428862937336
14.0,20.43096991768605,0.6290018334950029,0.011898978781530163,11.10192463390906,0.5787451509073099
15.0,20.43429057766069,0.6291416030431508,0.011892078231579903,11.101543660774537,0.5787468295790661
16.0,20.43760991786406,0.6292813148712282,0.011885175960423903,11.101162815731572,0.5787475892001082
17.0,20.44092793763815,0.6294209689351566,0.011878274520474647,11.1007820988442,0.5787479572897808
18.0,20.444244636370676,0.6295605651986186,0.011871366261754114,11.100401510178298,0.5787483779083574
19.0,20.447560013446395,0.6297001036215347,0.01186446027188383,11.100021049781192,0.5787490736404691
20.0,20.450874068312178,0.6298395841754273,0.011857556794505536,11.099640717697428,0.5787503327799962
21.0,20.454186800338526,0.6299790068192428,0.011850652209605511,11.099260513982028,0.5787516869076202
22.0,20.45749820893387,0.6301183715146211,0.011843747930283536,11.098880438687862,0.5787531670375066
23.0,20.460808293526235,0.6302576782243267,0.01183684690259755,11.098500491859433,0.5787546568322958
24.0,20.464117053533265,0.6303969269092342,0.011829948880956245,11.098120673540652,0.5787561743115621
25.0,20.46742448839202,0.6305361175332824,0.011823054258060666,11.097740983770583,0.5787577611758788
26.0,20.470730597540342,0.6306752500599213,0.011816160618975922,11.097361422593353,0.5787595799225309
27.0,20.47403538040815,0.6308143244519931,0.011809268555248775,11.096981990053429,0.5787613403472344
28.0,20.477338836437387,0.6309533406738517,0.011802378935968772,11.09660268619916,0.5787629905521404
29.0,20.480640965071217,0.6310922986899435,0.011795491997246796,11.096223511075058,0.5787645643991401
30.0,20.483941765737192,0.631231198462887,0.01178860814155296,11.09584446471983,0.5787661282842866
31.0,20.487241237880554,0.6313700399571825,0.0117817268565269,11.095465547175875,0.5787676844443738
32.0,20.49053938095004,0.6315088231376521,0.011774848694173758,11.095086758480733,0.5787691878382334
33.0,20.49383619439352,0.6316475479691527,0.011767973618704049,11.094708098674827,0.5787706037673563
34.0,20.497131677653833,0.6317862144160883,0.01176110105030169,11.0943295678021,0.5787719687638363
35.0,20.50042583017639,0.6319248224430632,0.01175423133019989,11.093951165903544,0.578773322960963
36.0,20.50371865141576,0.6320633720154217,0.011747363445828293,11.093572893025629,0.5787746682959963
37.0,20.507010140824153,0.632201863098393,0.01174049831850223,11.093194749209728,0.5787759810653402
38.0,20.51030029785477,0.6323402956572953,0.011733636387130748,11.092816734495328,0.5787771952099764
39.0,20.513589121961733,0.6324786696575219,0.011726777652326487,11.092438848921782,0.5787783010569003
40.0,20.516876612600115,0.6326169850645522,0.011719922114425166,11.092061092528333,0.5787793294077009
41.0,20.520162769225934,0.6327552418439385,0.011713069773527941,11.091683465354098,0.5787803239497944
42.0,20.523447591296136,0.6328934399613194,0.011706220629537176,11.091305967438087,0.5787813234992062
43.0,20.526731078268597,0.6330315793824087,0.011699374682186837,11.090928598819193,0.5787825716223451
44.0,20.530013229602147,0.6331696600730045,0.011692531931068074,11.090551359536207,0.5787839916801714
45.0,20.533294044756513,0.6333076819989829,0.011685692375650921,11.090174249627811,0.5787853803716211
46.0,20.53657352319238,0.6334456451262946,0.011678856015302714,11.089797269132584,0.5787867687744425
47.0,20.539851664371337,0.6335835494209745,0.011672022849303734,11.089420418089,0.5787881836574441
48.0,20.543128467754382,0.6337213948491481,0.011665192453922188,11.089043696536372,0.5787895598241516
49.0,20.546403932805006,0.6338591813770361,0.011658365192775608,11.088667104512732,0.5787907985165907
50.0,20.54967805898786,0.6339969089709409,0.011651541131384448,11.088290642056092,0.5787918851951394
51.0,20.552950845768507,0.6341345775972419,0.011644720269282118,11.087914309204367,0.5787928354210335
52.0,20.55622229260895,0.6342721872215625,0.01163790248456516,11.087538105994616,0.5787938419762171
53.0,20.5594923989751,0.6344097378101573,0.011631087801890644,11.087162032463505,0.5787949619062277
54.0,20.56276116433535,0.6345472293296426,0.011624276169335099,11.086786088646482,0.5787960885679367
55.0,20.566028588159018,0.6346846617467196,0.01161746770574012,11.086410274581112,0.5787975772885733
56.0,20.56929466991637,0.6348220350281685,0.011610662181240664,11.086034590305827,0.5787992155002154
57.0,20.572559409078583,0.6349593491408417,0.011603859739270141,11.085659035858882,0.5788008274063114
58.0,20.57582280511776,0.6350966040516697,0.011597060489212305,11.085283611277484,0.5788023769085112
59.0,20.579084857506942,0.6352337997276699,0.011590264430896077,11.084908316598742,0.5788040472740302
60.0,20.582345565720082,0.6353709361359255,0.011583471412423935,11.084533151861848,0.5788056497245819
61.0,20.585604929232083,0.635508013243606,0.011576681553854799,11.08415811710416,0.5788065306392883
62.0,20.588862947518756,0.6356450310179539,0.011569894862006585,11.08378321236254,0.5788071240769196
63.0,20.59211962005687,0.6357819894262907,0.011563111210937378,11.083408437674116,0.5788098179886841
64.0,20.595374946324085,0.6359188884360193,0.011556330756125216,11.083033793075465,0.5788119270633837
65.0,20.598628925799044,0.6360557280146161,0.01154955349757971,11.08265927860308,0.5788136708546505
66.0,20.601881557961278,0.6361925081296355,0.011542779435295466,11.082284894293359,0.5788149682281326
67.0,20.60513284229127,0.6363292287487133,0.011536008569252534,11.08191064018261,0.5788160423589541
68.0,20.608382778270435,0.6364658898395602,0.011529240899416801,11.081536516307047,0.5788171498370044
69.0,20.611631365381132,0.6366024913699633,0.011522476425740443,11.081162522702792,0.5788182377692507
70.0,20.61487860310664,0.6367390333077926,0.011515715148162534,11.080788659405881,0.5788189905253714
71.0,20.618124490931184,0.6368755156209931,0.011508957066609147,11.080414926452253,0.5788191854045658
72.0,20.62136902833993,0.6370119382775855,0.011502202180993758,11.080041323877758,0.5788189433570127
73.0,20.62461221481897,0.6371483012456739,0.011495450491217286,11.079667851718156,0.5788186202714851
74.0,20.627854049855358,0.6372846044934373,0.011488701997168083,11.079294510009117,0.5788182226635706
75.0,20.631094532937063,0.6374208479891293,0.011481956698212854,11.078921298786218,0.5788185594731314
76.0,20.634333663553033,0.6375570317011025,0.011475214581187177,11.078548218085075,0.5788191976565339
77.0,20.63757144119314,0.6376931555977797,0.011468475646090956,11.078175267941196,0.5788196525474679
78.0,20.64080786534823,0.6378292196476703,0.011461739892932293,11.077802448390008,0.5788199954966499
79.0,20.644042935510093,0.6379652238193594,0.011455007321726982,11.077429759466842,0.5788201190403315
80.0,20.647276651171488,0.6381011680815111,0.011448277932498226,11.077057201206934,0.5788200727835179
81.0,20.65050901182612,0.6382370524028764,0.011441551725276077,11.07668477364543,0.5788200184677044
82.0,20.65374001696864,0.6383728767522748,0.011434828700096945,11.076312476817387,0.5788196443179829
83.0,20.65696966609469,0.638508641098613,0.011428108857003245,11.075940310757762,0.5788196421694772
84.0,20.660197958700834,0.6386443454108779,0.011421392196042714,11.075568275501427,0.5788204950688199
85.0,20.663424894284617,0.6387799896581309,0.011414678717267947,11.075196371083154,0.5788214111049168
86.0,20.666650472344546,0.6389155738095166,0.011407968420735728,11.074824597537628,0.5788227365385529
87.0,20.66987469238007,0.6390510978342548,0.011401261306506495,11.074452954899444,0.5788238481405633
88.0,20.673097553891626,0.6391865617016533,0.01139455737464368,11.074081443203097,0.578824743059327
89.0,20.67631905638059,0.6393219653810914,0.01138785662521297,11.073710062482993,0.5788255770493288
90.0,20.67953919934931,0.639457308842032,0.011381159058281708,11.07333881277345,0.5788263707467507
91.0,20.682757982301112,0.6395925920540152,0.011374464673918085,11.072967694108687,0.5788274068134925
92.0,20.68597540474027,0.6397278149866629,0.011367773472190512,11.072596706522834,0.5788284968544143
93.0,20.689191466172026,0.6398629776096749,0.011361085453166784,11.072225850049927,0.5788298232759674
94.0,20.692406166102586,0.6399980798928312,0.011354400616913337,11.07185512472391,0.5788310880527225
95.0,20.69561950403914,0.6401331218059882,0.011347718963494508,11.071484530578639,0.5788324642982294
96.0,20.69883147948982,0.6402681033190883,0.011341040492971686,11.07111406764787,0.5788315057835739
97.0,20.702042091963747,0.6404030244021474,0.011334365205402487,11.070743735965268,0.5788331961601871
98.0,20.705251340970996,0.6405378850252598,0.011327693100840069,11.070373535564412,0.5788339112053089
99.0,20.708459226022633,0.6406726851586054,0.0113210241793321,11.070003466478784,0.5788342348199772
100.0,20.711665746630658,0.6408074247724386,0.011314358440920186,11.069633528741772,0.578834519145499
101.0,20.71487090230808,0.6409421038370927,0.011307695885638798,11.069263722386674,0.5788363559185453
102.0,20.718074692568855,0.6410767223229813,0.011301036513514594,11.068894047446696,0.5788379480571868
103.0,20.721277116927922,0.6412112802006004,0.011294380324565485,11.068524503954949,0.5788390903486728
104.0,20.724478174902615,0.6413457774408317,0.011287727313855377,11.068155091944318,0.5788397368003282
105.0,20.727677866015668,0.6414802140156188,0.011281077466145723,11.067785811447164,0.5788398732361736
106.0,20.73087618978503,0.6416145898957079,0.011274430801036918,11.067416662496319,0.578839808244474
107.0,20.734073145729614,0.6417489050519293,0.011267787318490641,11.067047645124514,0.578839866472877
108.0,20.737268733369312,0.6418831594551866,0.011261147015541954,11.066678759364404,0.5788396336551631
109.0,20.740462952225,0.6420173530764676,0.011254509881425732,11.066310005248573,0.5788393248214289
110.0,20.743655801818512,0.6421514858868352,0.011247875915545704,11.06594138280952,0.5788390947278913
111.0,20.74684728167267,0.6422855578574289,0.011241245117906732,11.06557289207965,0.5788388800301449
112.0,20.750037391311288,0.642419568959477,0.01123461748851061,11.06520453309127,0.5788389270368625
113.0,20.753226130259137,0.642553519164274,0.011227993027355393,11.0648363058766,0.5788384343991682
114.0,20.756413498041958,0.6426874084432029,0.0112213717344345,11.064468210467757,0.5788390948146628
115.0,20.7595994941865,0.6428212367677181,0.011214753609736013,11.064100246896771,0.578839336162729
116.0,20.76278411822048,0.6429550041093565,0.011208138653241969,11.063732415195577,0.5788394912508951
117.0,20.765967369672573,0.6430887104397334,0.011201526864927501,11.063364715396016,0.578839646816958
118.0,20.769149248072477,0.6432223557305382,0.01119491824476014,11.062997147529833,0.5788398784856058
119.0,20.772329752950828,0.6433559399535443,0.01118831279269913,11.062629711628679,0.5788400112555717
120.0,20.775508883839272,0.6434894630805993,0.01118171050869457,11.062262407724116,0.5788399529399253
121.0,20.778686640270433,0.6436229250836322,0.01117511139268691,11.06189523584761,0.5788398231442937
122.0,20.781863021777905,0.6437563259346452,0.011168515444606003,11.061528196030528,0.5788397603677454
123.0,20.785038027896277,0.6438896656057241,0.011161922664370652,11.061161288304149,0.5788396826177141
124.0,20.78821165816111,0.6440229440690312,0.011155333051887808,11.060794512699658,0.5788398526082328
125.0,20.791383912108973,0.6441561612968031,0.011148746607051924,11.060427869248143,0.5788404582603377
126.0,20.7945547892774,0.6442893172613585,0.011142163329744346,11.060061357980599,0.5788409565671188
127.0,20.797724289204915,0.6444224119350929,0.011135583219832766,11.059694978927928,0.5788412631734268
128.0,20.800892411431022,0.6445554452904766,0.011129006277170403,11.05932873212094,0.5788414337236544
129.0,20.80405915549622,0.6446884173000627,0.011122432501595685,11.058962617590348,0.5788414003676802
130.0,20.807224520942,0.6448213279364776,0.011115861892931464,11.058596635366772,0.5788413707764134
131.0,20.810388507310833,0.6449541771724279,0.011109294450984594,11.058230785480742,0.5788412216565739
132.0,20.813551114146183,0.6450869649806951,0.011102730175545337,11.057865067962686,0.578840862809511
133.0,20.8167123409925,0.6452196913341406,0.011096169066386862,11.057499482842946,0.5788402648850712
134.0,20.819872187395212,0.6453523562057057,0.011089611123264828,11.057134030151767,0.5788395957449919
135.0,20.82303065290077,0.6454849595684022,0.011083056345916732,11.0567687099193,0.5788389338647798
136.0,20.826187737056582,0.6456175013953247,0.011076504734061684,11.056403522175602,0.5788381459927222
137.0,20.82934343941107,0.6457499816596418,0.011069956287399766,11.05603846695064,0.5788375510399064
138.0,20.832497759513295,0.6458824003345185,0.011063410994663509,11.055673544274137,0.578836997962083
139.0,20.835650696912666,0.6460147573930262,0.011056868833671511,11.055308754175437,0.5788363104555038
140.0,20.838802251162925,0.6461470528089132,0.011050329791518798,11.05494409668325,0.5788356088320936
141.0,20.84195242182316,0.6462792865566497,0.011043793863251813,11.054579571826016,0.5788349503066671
142.0,20.845101208446685,0.6464114586097809,0.011037261091568464,11.054215179633292,0.5788341927753485
143.0,20.848248610587852,0.6465435689419325,0.011030731475291121,11.053850920134558,0.5788331659776235
144.0,20.85139462780198,0.6466756175268109,0.011024205014025372,11.0534867933592,0.5788326980902815
145.0,20.854539259645392,0.6468076043381942,0.01101768170694787,11.053122799336528,0.5788322111993204
146.0,20.857682505675417,0.646939529349939,0.011011161553811854,11.052758938095753,0.5788314149258172
147.0,20.860824365450362,0.6470713925359797,0.011004644554354083,11.052395209665999,0.5788310645862275
148.0,20.863964838529554,0.647203193870329,0.010998130681060795,11.052031614075648,0.578830684189208
149.0,20.867103924473327,0.6473349333270741,0.01099161992882801,11.051668151352882,0.5788302219404372
150.0,20.870241622842972,0.6474666108803824,0.010985112306569681,11.051304821526017,0.5788302464366223
151.0,20.873377933200832,0.6475982265044898,0.010978607835643995,11.05094162462381,0.5788300058683155
152.0,20.876512855110217,0.6477297801737197,0.010972106515769369,11.050578560674928,0.5788293849340125
153.0,20.87964638813547,0.647861271862468,0.010965608346645691,11.050215629707939,0.5788286421567541
154.0,20.882778531841907,0.6479927015452068,0.010959113326521637,11.049852831751314,0.5788279072048254
155.0,20.88590928579586,0.648124069196483,0.010952621415446642,11.04949016683324,0.5788271764970656
156.0,20.88903864956469,0.6482553747909278,0.010946132653756584,11.049127634982005,0.5788263815911537
157.0,20.892166622716726,0.6483866183032408,0.010939647041108457,11.048765236225808,0.5788256520855494
158.0,20.89529320482134,0.6485177997082037,0.010933164577139543,11.048402970592752,0.5788252042820509
159.0,20.898418395448882,0.6486489189806739,0.010926685261467027,11.048040838110847,0.5788246875276434
160.0,20.901542194170734,0.648779976095585,0.010920209093687308,11.047678838808006,0.5788248465436096
161.0,20.90466460055928,0.648910971027948,0.01091373607337585,11.047316972712053,0.578823731493322
162.0,20.90778561418791,0.6490419037528511,0.010907266200086816,11.046955239850718,0.5788238484718834
163.0,20.910905234631038,0.6491727742454575,0.010900799473352745,11.046593640251633,0.5788236893158301
164.0,20.914023461464083,0.6493035824810115,0.010894335871558865,11.046232173942233,0.5788234219087169
165.0,20.917140294263476,0.6494343284348315,0.010887875391662694,11.045870840949851,0.5788230417097727
166.0,20.92025573260667,0.6495650120823105,0.010881418039695587,11.04550964130116,0.5788227457205128
167.0,20.923369776072136,0.6496956333989237,0.010874963798615574,11.045148575022171,0.5788225757650458
168.0,20.926482424239342,0.6498261923602207,0.010868512693901421,11.044787642140044,0.5788223468364015
169.0,20.929593676688807,0.6499566889418276,0.010862064725042036,11.044426842681842,0.5788219449328718
170.0,20.93270353300204,0.6500871231194493,0.010855619891509499,11.044066176674537,0.5788216166845964
171.0,20.93581199276158,0.6502174948688662,0.01084917819275892,11.043705644145007,0.5788209893960369
172.0,20.93891905555099,0.650347804165936,0.010842739627268774,11.04334524512001,0.5788201867330999
173.0,20.942024720954862,0.6504780509865937,0.010836304194338208,11.042984979626208,0.5788210307873861
174.0,20.945128988558793,0.6506082353068544,0.010829871893383343,11.042624847690172,0.5788214573055411
175.0,20.948231857947416,0.6507383571025662,0.01082344262120667,11.042264849334142,0.5788217675210546
176.0,20.95133332870801,0.6508684163498404,0.01081701644280833,11.041904984583626,0.5788218912017723
177.0,20.95443340042925,0.6509984130249117,0.010810593361814284,11.041545253464898,0.5788218627995813
